,question,answers,question_arm,response_en_ZS,response_arm_ZS,response_en_OS,response_arm_OS,response_en_FS,response_arm_FS,response_arm_sys_ZS,response_arm_sys_OS,response_arm_sys_FS,response_arm_ZS_BT,response_arm_OS_BT,response_arm_FS_BT,response_arm_sys_ZS_BT,response_arm_sys_OS_BT,response_arm_sys_FS_BT,sim_response_ZS,sim_response_OS,sim_response_FS,sim_response_arm_sys_ZS,sim_response_arm_sys_OS,sim_response_arm_sys_FS,sim_response_en_reference_ZS,sim_response_en_reference_OS,sim_response_en_reference_FS,sim_response_arm_reference_ZS,sim_response_arm_reference_OS,sim_response_arm_reference_FS,sim_response_ZS_cased,sim_response_OS_cased,sim_response_FS_cased,sim_response_arm_sys_ZS_cased,sim_response_arm_sys_OS_cased,sim_response_arm_sys_FS_cased,sim_response_en_reference_ZS_cased,sim_response_en_reference_OS_cased,sim_response_en_reference_FS_cased,sim_response_arm_reference_ZS_cased,sim_response_arm_reference_OS_cased,sim_response_arm_reference_FS_cased
0,what currency does senegal use?,West African CFA franc,ինչ արժույթ է օգտագործում Սենեգալը:,The currency of Senegal is the West African CFA franc.,Սենեգալը օգտագործում է մետրիական արժույթների մոդելավորման համակարգի մեջ:,The currency of Senegal is the West African CFA franc.,Սենեգալը օգտագործում է ֆիզիկական մեծության մեջ էլեկտրոնի էներգիայի չափման համար:,Senegal uses the West African CFA franc as its currency.,Սենեգալը օգտագործում է միջառատ արժույթ:,"Սենեգալը օգտագործում է ինչպես նաև շշուկայում նպատակային արժույթ: Այն առաջացնում է մուտքարկումների, առաքումների, եկամուտների, նիստերի և այլնի ժամանակաշրջանում: Սենեգալը օգտագործվում է գնելու գրասենյակային մեկքելատակի համար, տեղափոխվելու հարթակում, պարբերաբարդ ուղերձներին, դուրս գրանցումներին, նետերատեսական գործարքներին և այլն:","Սենեգալը օգտագործում է Հետաքրքրված Շարժիչը (Haptic Feedback) ծրագրային իրադարձություն: Երբ օգտագործողը մուտքագրում է սիմվոլեր կամ բառեր էկրանի վրա, սենեգալ կորցրելով միջադեպերը օգտագործողին հրահանգում է, որպեսզի այն համեմատվի իրական ցանցային օգտագործման և կիրառվող բանալիների հետ: Սենեգալով կարողանում ենք նաև ստորագրել։","Սենեգալը օգտագործում է արժույթների նկատմամբ շահարակել աշխարհագրությունը: Դրանով կարող է կառուցել մշակութային և ճարտարապետական խորընկովումներ, ներկայացնել ենթագրարավենիներին պատկերներով, անվանել զգօտված հեղինակին և ավելացնել հարգանքները և հնարավորությունները:",Senegal uses metric currencies in its modeling system.,Senegal uses a physical quantity to measure the energy of an electron.,Senegal uses an international currency.,"Senegal uses as well as whispers a target currency. It generates a time frame of inputs, deliveries, revenues, sessions, etc. Senegal is used for buying an office suite, moving platform, regular messages, check-outs, forecasting transactions, etc.","Senegal uses the Haptic Feedback software event. When the user enters symbols or words on the screen, the senegal lost incidents prompts the user to compare it with the actual network usage and keys used. We can also sign with Senegal.","Senegal uses geography to manipulate currencies. It can build cultural and architectural insights, introduce subtitles with images, name the dedicated author, and add respects and opportunities.",0.8231821060180664,0.5508785843849182,0.9190543293952942,0.723808228969574,0.7267889976501465,0.6148648858070374,0.5727419257164001,0.5727419257164001,0.5554074645042419,0.46861255168914795,0.4166046380996704,0.5682704448699951,0.9382565021514893,0.9219309091567993,0.9864146113395691,0.8609436750411987,0.8820716142654419,0.8676438927650452,0.8845078349113464,0.8845078349113464,0.9514957666397095,0.8941560387611389,0.8545660972595215,0.9399119019508362
1,what type of money does jamaica use?,Jamaican dollar,ինչ տեսակի փող է օգտագործում Ջամայկան:,Jamaica uses the Jamaican Dollar as its currency.,Ջամայկանը օգտագործում է միայն կատալացը:,Jamaica uses the Jamaican dollar as its currency.,"Երկարամյա փողը է սոխականության օբյեկտիվ վայրապես ավելի անհրաժեշտ եզակի, երբ հեմպանություն, դավանաբանություն կամ դասակարգության գաղափարը պարտավոր է:",Jamaica uses the Jamaican dollar as its currency.,Ջամայկանը օգտագործում է յոկակառավարության պոկոլներ:,"Ջամայկանը օգտագործում է ձեր ճնշումների ստուգմանը, երբ դուք պուշատունը չեք հասնում: Դա միշտ հարկավոր է մնացելու հետևյալ դեպքերում՝

1. Եթե հանդեպ պուշատուց երթևելը, էլ ձեր ջամարի հաշիվը չի ցանկանում մեկը ճամպրուկ փիլիսոփիայից:

2. Եթե միայն մեկը կներկայացնելու Ձեր ջամարը գլխիկը, իրարցնեք պրոցեսը և խոտակերպեք իրականում թե դրանից ինչպես է պետք բերել գործառույթը ծառայությունը:

3. Եթե միայն որևէ բան է մնացել ջամայկանը, ստուգեք, որ դրա տիրույթն ավելի մեծ չլինի այն հարևանությամբ, մեկը ծառայություն, թե նախատեսված չէ ճամպրուկ բացակայողակարգելիություն վերաբերելու դեպքում: Երթուղին հնազանդեցնելու համար, Գտանտատէն է հետևյալ անվանը որը միշտ թողնում է նախատեսված երթևելը ճամպրուկը, որը վանայելի չի կարող լինելու որոշ պատճառերով՝ գետաճերները փչացված կոչի համարային, աբրեվանական պատճառերով, մոտ մոտ մակերեսային բարձրությամբ, բարձրացաքրությանը:

4. Ձեր ջամարը մենք պիտակարկեցինք փայտով եւ ձայն կտանք այնպես, որ վերակառուցվելիս կարողանայի ոչ մի զույգ թվի գալինել, քանի որ այնպես ժամանակ չի հանդուրժեւմ:

5. Ցանկալի է գիտել, որ շրջումը ավարտվում է հիմնականությունում ինչպես նաև թույլատրելի շարժը կամ երթևելը, ահավորեք ջամարներում առկա կառավարման, երկրամտային, ընՏերային կամ մնացորդներում գրառումների ժամանակ:","Ջամայկանը օգտագործում է իմանալու հավասարներ՝ կամարանից բացված ընդհանուր տերմինալների հետ համահեռակալված միջոցների միջոցով: Ջամայկան թույլ է տալիս գերազանցել հրապարակի երևույթի սահմանները, հանգուցելով ժամանակակից տվյալները և ունեցած շրջանավարությունը: Սա կազմակերպված է ինֆրակտիվ մուտքագրումներով, որոնցից վերցվում է առանձնացվական ուղերձում ինֆորմացիաներ հանածանցկարծիքների անդամների մակարդակին, նրանց անցանցիդանությունը և նախատեսված փոխանցումները, որոնք օգնում են կազմակերպել հարգելիությունները:","Խմբակային փողերը, որոնք պարտադիր են լավագույն տարածքաշարժումների համար։",Jamaican uses Catalan only.,"Long-term money is the objective locally more necessary unique of onionness when hempany, denomination, or class idea is obliged.",Jamaica uses government pocols.,"Jamaican use to check your blood pressure when you don't get to the hospital. This will always be necessary in the following cases:

1. If you don't want to get rid of the money, your money account doesn't want one of the suitcase philosophy.

2. If only one person is going to represent your jammar head, declutter the process and figure out exactly how to get the function from it to the service.

3. If only anything is left of the Jamaican, check that its range is not greater in the neighborhood, one is service, or is not intended in the case of suitcase missingness. To tame the route, Gtantaten is the following name that always leaves the intended travel the suitcase, which cannot be waned for some reasons, the rivulets are spoiled for the numerical, abrevan reasons of the appeal, close to the surface height, to the high humidity.

4. We marked your jamar with a stick and we will vote so that when it is reconstructed, I could come up with an even number, because time is not tolerated.

5. It is desirable to know that the reversal ends in the main as well as the permissible movement or relief, during the entries in the management, geographical, economic or balances in the jammers.","Jamaican uses knowing equals through co-remote means with common terminals opened from the arch. Jamaica allows you to exceed the boundaries of the square phenomenon, culminating in modern data and the roundness you have. This is organized by infrastructural inputs, from which information on the level of collective opinion members, their transience and intended transmissions is taken in a separate message, which helps to organize respectability.","Group money, which is mandatory for the best area movements.",0.7321587204933167,0.5352249145507812,0.766946017742157,0.6301276683807373,0.6951019763946533,0.7721213102340698,0.670746922492981,0.670746922492981,0.670746922492981,0.6055746674537659,0.41395020484924316,0.5189036726951599,0.9274544715881348,0.8510113954544067,0.927128255367279,0.8481611013412476,0.8637396097183228,0.9239683151245117,0.25746285915374756,0.24824397265911102,0.24824397265911102,0.21624603867530823,0.1742805391550064,0.19254043698310852
2,what money to take to sri lanka?,Sri Lankan rupee,ինչ գումար տանել Շրի Լանկա.,The official currency of Sri Lanka is the Sri Lankan Rupee (LKR). It is advisable to carry Sri Lankan Rupees when visiting Sri Lanka.,Շրի Լանկա-ին ստացել հաճախումյունների գումարը չնշված է։,The official currency of Sri Lanka is the Sri Lankan Rupee (LKR).,Շրի Լանկային գումարը ձեռք է կապված։,The currency used in Sri Lanka is the Sri Lankan rupee.,"Շրի Լանկան տարբերանում է, թե ինչքան գումար պետք է վճարվի։","Շրի Լանկան ունի արժեքը փոքրիկ գումարով սպասարկվող համակարգ։ Բավականին ստուգեք բացված օգտագործողի քարտի մնացորդը, որոնց համարը շրջվել է՝ սպասարկումը արգելք չի առնում: Ապահովեք նամակագրական հասցեներին բաժանման միջոցով՝ օգտագործողը ուղղակիորեն ծանոթանայն լինելու նախագիծը: Այնուհետև, սպասեք, թե երևի վերջին գործարքները արդեն իրերին տեղակայվել են, և դրանք թերադրելու համար օրինականորեն մժամանակ պետք է: արդենինս ամեն ինչ կխնայի:","Շրի Լանկա-ն նահանջում է անտառով ազնվարացիների գումարը, բայց պայմանավորված չէ գումար տանել: Անտառում մնացած գումարը հաշվարկվում և փոխվում է հնարավոր արտոնագրողի կողմից: Գումարը վճարվում է նաև այսպիսի արտոնագրողի միջոցով, ինչից հետո գումարն աշխատակիցներին տրվում է: Հիմուտ ամերիկյան անտառում արտոնագրողի որոշակի տեսակների համար համաձայնացումներ կատարվում են:","Շրի Լանկային երկիրը չունի կանխադրված ֆինանսավորում, և դրանով չի համարվում ճշգրիտ թափանցիկ հաշիվների մեջները: Ուսանողները կարող են վերաճշտել վարկային հարկերը, կամ վճարել ամբողջական գնացուցակները։",The amount of attendance received by Sri Lanka is unspecified.,Money is tied to Sri Lanka.,Sri Lanka varies on how much money should be paid.,"Sri Lanka has a cash service system. Just check the card balance of the opened user whose number has been reversed, the service does not block. Ensure that the project is directly accessible to the user by sharing mailing addresses. Then wait, maybe the last deals have already been deployed to the items and it takes a while to legitimately shortlist them. it will save everything already.","Sri Lanka withdraws the money of the nobles through the forest, but is not bound to carry money. The amount remaining in the forest is calculated and changed by the potential licensor. The money is also paid through such a licensor, after which the money is given to the employees. Agreements are made for certain licensor species in the Himut American forest.",The country of Sri Lanka has no default funding and thus is not considered among the exact transparent accounts. Students can recheck the loan fees or pay the full price lists.,0.796963095664978,0.678151547908783,0.6274387836456299,0.659624457359314,0.7811049222946167,0.6822234392166138,0.4744405746459961,0.5144845843315125,0.5472391247749329,0.35738638043403625,0.6381003260612488,0.49693766236305237,0.910470724105835,0.8368870615959167,0.8993982672691345,0.8332782983779907,0.8400301337242126,0.8827810287475586,0.9336451292037964,0.9347085952758789,0.9308270215988159,0.9073400497436523,0.8327317833900452,0.8573212623596191
3,when did the charlotte bobcats first play in the nba?,2004 NBA Draft,Ե՞րբ են charlotte bobcats-ն առաջին անգամ խաղացել nba-ում:,The Charlotte Bobcats first played in the NBA in the 2004-2005 season.,Charlotte Bobcats-ը առաջին անգամ խաղացել է NBA-ում 2004 թվականին։,The Charlotte Bobcats first played in the NBA in 2004.,Charlotte Bobcats-ն 2004 թվականին մասնակցել ստացել NBA-ում:,The Charlotte Bobcats first played in the NBA in 2004.,Charlotte Bobcats-ը առաջին անգամ խաղացել է NBA-ում 2004 թվականին։,"Charlotte Bobcats-ը առաջին անգամ խաղացել է NBA-ում 2004 թվականին: Հիշեցումն է, որ 2014 թվականին նախապատրաստվեցին իրենց անակումբը Charlotte Hornets-ի անունով:",Charlotte Bobcats-ն առաջին անգամ խաղացել է NBA-ում 2004 թվականին։,Charlotte Bobcats-ն առաջին անգամ խաղացել NBA-ում 2004 թվականին։,The Charlotte Bobcats first played in the NBA in 2004.,The Charlotte Bobcats entered the NBA in 2004.,The Charlotte Bobcats first played in the NBA in 2004.,The Charlotte Bobcats first played in the NBA in 2004. It is a reminder that in 2014 they prepared their own club under the name of Charlotte Hornets.,The Charlotte Bobcats first played in the NBA in 2004.,The Charlotte Bobcats first played in the NBA in 2004.,0.8879805207252502,0.9278114438056946,1.0,0.7236867547035217,1.0,1.0,0.6015805602073669,0.5793218016624451,0.5793218016624451,0.5793218016624451,0.5945659279823303,0.5793218016624451,0.9707856774330139,0.9797767996788025,0.9999998807907104,0.9527484774589539,0.9999998807907104,0.9999998807907104,0.8999509811401367,0.8817687034606934,0.8817687034606934,0.8817687034606934,0.9080104827880859,0.8817687034606934
4,where is north port florida located?,Sarasota County' 'United States of America' 'Florida,որտեղ է գտնվում Հյուսիսային Պորտ Ֆլորիդան:,"North Port, Florida is located in Sarasota County, along the southwestern coast of the state.",Հյուսիսային Պորտ Ֆլորիդան գտնվում է ԱՄՆ-ի Ֆլորիդա նահանգում։,"North Port, Florida is located in Sarasota County, on the southwestern coast of the state.",Աշխարհի ամենամեծ անձրևային անտառը գտնվում է Հյուսիսային Պորտ Ֆլորիդայում:,"North Port, Florida is located in Sarasota County, on the southwest coast of the state.",Հյուսիսային Պորտ Ֆլորիդան գտնվում ԱՄՆ-ի Ֆլորիդա նահանգում։,"Հյուսիսային Պորտ Ֆլորիդան արեգակիցներով մեծ ներկայիս ամենամեծ և պատմավարձով պորտ է ԱՄՆ-ում: Այն գտնվում է Ֆլորիդայի հարավաֆրերում և ունի ազգային և արտաքին աշխարհամարտությունների մեջ մեծ անտառածություն: Այսպիսով, հյուսիսային Պորտ Ֆլորիդան հիմնված է Յունուար բնավարական տարածության Միացված Նահապետական Պեյսի մարզահամայնությունից:","Էեվերես լեռնաճամբված լեռներն են ամենաբարձրերը աշխարհում: Էեվերես գտնվում է Հնդիսովանը, հումքերն ստեղծածներով հարտակից, և այն տարածված է Գեորգիա, Ջորդանիայի և Հայաստանի մասերում: Էեվերեսը նշանակում է տարածության արտադրման և շերտավորման տարածք, և հնարավոր է շարժվել հոսանքների, գետնավորների, ձկների և բազմակերպասերի վայրում:","Հյուսիսային Պորտ Ֆլորիդան քաղաքն է, որը գտնվում ԱՄՆ-ի Ֆլորիդա պրովինսիայում: Այն գայթվում է Ֆլորիդա Պառկինսոն և Վեստ Պառկինսոն գավառների միջազգային համալիրում:",North Port Florida is located in the US state of Florida.,The world's largest rainforest is located in North Port Florida.,North Port Florida is located in the US state of Florida.,"North Port Florida is the largest current and historic port of call in the United States. It is located in southern Florida and is heavily forested in national and foreign world wars. Thus, northern Port Florida is based on the United Patriarch Pace sports community of the January natural space.","Mount Everest is the highest mountain in the world. Eeveres is located in Hndisovan, from the plains created by the raw materials, and it is spread over parts of Georgia, Jordan, and Armenia. Eeveres means space production and layering, and it is possible to move in the place of currents, earthlings, fish and polymorphs.",North Port Florida is a city located in the US state of Florida. It is located in the International Complex of Florida Parkinson and West Parkinson counties.,0.7692582011222839,0.48207512497901917,0.7805364727973938,0.504571259021759,0.3101317286491394,0.7734606266021729,0.37094518542289734,0.34043067693710327,0.33630287647247314,0.45364874601364136,0.7549800872802734,0.45364874601364136,0.9568401575088501,0.9511851072311401,0.9572216272354126,0.9346652626991272,0.8726456761360168,0.934032678604126,0.8276025056838989,0.8270125985145569,0.828956663608551,0.8083857297897339,0.8342244029045105,0.8083857297897339
5,what kind of government does mongolia?,Semi-presidential system' 'Parliamentary republic,ինչպիսի՞ կառավարություն է Մոնղոլիան:,Mongolia is a parliamentary republic.,"Մոնղոլիան բացատրություն է, որը հասարակության երկարություն է, որն պարուհին՝ կատարում է դեպի դեպի։",Mongolia has a parliamentary republic form of government.,Մոնղոլիան քաղաքապետություն է:,Mongolia has a parliamentary republic government.,Մոնղոլիան մի տարածքային պետություն է։,"Մոնղոլիան մեկ օշարակված է սահմանադրված վիճակահանդեսությունով, որը կառավարվում է ավտոմատացված հոդվածով: Այս վիճակահանդեսությունը կապված է բաշխման, ինքնապաշարության, մնացորդումների վրա և այլ տարբեր առաջադամությունների վրա: Այս մոդելին մեծ ընդհանուր համակարգվածությամբ օպերատիվ է և հաշվարկների և արտացոլումների ուսումնասիրման մեքենան ունի:

Մոնղոլիան հավասարահատկանությամբ չի ունենալու հավաքածուներ, որոնք բեռնվում են նաև իրարից: Այսուհետ՝ այս դիրքը իզոտերապիայի տալիս է բեռնելու մոլեկուլային հավաքածուները: Մոնղոլիայի հավաքածուները իրենց այնպես բեռնելու են գիտվում, որ կարող են առաջադրվել նավիգացիոն ու մոլեկուլար հավաքագրումների ապահովումներով: Անդամը մատնում է կամե-ապո կրկնելու կերպ, երբ առաջինից կերպարերից բեռնվող իզոտերապիայի ազդությամբ կազմված պետք է արտացոլվեն այլ միջոցառումներով: Հիմնավոր կերպարերից բեռնելու վիճակահանդության շուկայում այսպես կազմված են՝ ուսումնասիրված օտարերկրյա այդ պատասխաններով, Ունիվերսալ ու Պանդեանումներով:","Մոնղոլիան զբոսայումներում միասին փորձում է մարզել ավելի ճարտարագիտության լեզուներին՝ հունիսերենին, ռուսերենին։ Կարծես է, որ պատասխանը արտածելով պատասխանների, բոլոր իրավունքների և ուժերի համաձայնությունները նկատելով։","Մոնղոլիան հիմնադրված է աբրաամային ու իսլամային շուկայական բանկի, որի մասնագիտական կենտրոնը գտնվում է Մոնղոլիա քաղաքում: Հիմնական տարածքը այսօր կանխելու է ավելացված Թիվենարի, և իր գործիքակազմը զվացրել է շորտիների, երաշտակերտերի և այլ հարցերի վրա: Մոնղոլիան առաջինն է ապիտական և միջուկային վարկային մասնագիտական բանկի հարկային ՠեներալ Մոնղոլիայի Պրինց Ղալէրյանը հիմնադրել է դեպոզիտը թարգմանելու ո՞րն է հայերենում:","Mongolia is an explanation, which is the length of society, which the dancer performs towards.",Mongolia is a municipality.,Mongolia is a territorial state.,"Mongolia is one syrupy established lottery administered by an automated article. This lottery is related to distribution, self-reserve, balances and other various advances. This model is operational with great general coordination and has a calculation and reflection study machine.

Mongolia won't even have collections that load from each other either. Henceforth, this position is isotropic to load molecular assemblies. Collections of Mongolia are known to load themselves in such a way that they can be nominated by providing navigational and molecular collections. The member betrays a way to repeat the kame-apo, when from the first one composed by the effect of loading isotheraphy should be reflected by other measures. From the basic characters in the download lottery market are thus composed, studied by those foreign answers, Universal and Pandianums.","Mongolia tries to train more engineering languages, Greek and Russian, together in the outings. It seems that by expressing the answer, noticing the agreements of answers, all rights and powers.","Mongolia is an established Abrahamic and Islamic market bank, whose professional center is located in the city of Mongolia. The main area today will prevent added Thivenar, and has cooled its toolkit on shorts, droughts and other matters. Mongolia is the first apital and nuclear credit professional bank Tax General Prince Ghaleryan of Mongolia founded the deposit to translate what is in Armenian?",0.7600305080413818,0.798279345035553,0.8754017353057861,0.5812734961509705,0.7090024948120117,0.7430216073989868,0.764448344707489,0.823078453540802,0.8467226028442383,0.8132612705230713,0.7025920748710632,0.7239779829978943,0.8624313473701477,0.9283045530319214,0.9611449837684631,0.8512505888938904,0.7725761532783508,0.7946549654006958,0.9313474297523499,0.9332866072654724,0.9317929744720459,0.8407913446426392,0.9200573563575745,0.9424533843994141
6,when was the 2012 calgary stampede?,1988 Winter Olympics,Ե՞րբ է տեղի ունեցել 2012 թվականի Կալգարիի հրմշտոցը:,"The 2012 Calgary Stampede took place from July 6th to July 15th, 2012.",2012 թվականի դեկտեմբերի 3-ին է՝ Կալգարիի հրմշտոցը:,The 2012 Calgary Stampede took place from July 6th to July 15th.,Կալգարի հրմշտոցն առաջին անգամ տեղի ունեցել 2012 թվականին:,"The 2012 Calgary Stampede was held from July 6 to July 15, 2012.",2012 թվականի Կալգարիի հրմշտոցը տեղի ունեցել է սեպտեմբերի ամսվակից։,"Նոյեմբերի 30-ին, 2012 թվականին է՝ այն ժամանակում տեղի ունենալով հրմշակալների կալգարը:",2012 թվականի Կալգարիի հրմշտոցը Տամիլ Պեյտոնը որպես առաջին անգլարական ֆուտբոլիստ սոլիցարանական ներկայացումից անց ունենա՞պես՝ ամենաերկար հրմշտոցի հաղթող՝ ընդրումողը:,2012 թվականի Կալգարիի հրմշտոցը տեղի ունեցել է հունվարի 30-31 թվականների միջավայրում։,"It's December 3, 2012, the Calgary Stampede.",The Calgary Stampede first took place in 2012.,The 2012 Calgary Stampede took place in September.,"On November 30, 2012, the Calgary Fireworks Festival was taking place at that time.","2012 Calgary Stampede Tamil Peyton became the first English football player to have a solitaire performance, the winner of the longest stampede.",The 2012 Calgary Stampede took place around January 30-31.,0.7209678292274475,0.8291463851928711,0.9231960773468018,0.7342087626457214,0.5660452246665955,0.9496734738349915,0.3345821499824524,0.32508376240730286,0.3240744173526764,0.4300583004951477,0.3651963174343109,0.3658119738101959,0.9096902012825012,0.9372223615646362,0.9593862295150757,0.9298431873321533,0.905593991279602,0.9708697199821472,0.8029641509056091,0.8131897449493408,0.8005892634391785,0.7981388568878174,0.7769678235054016,0.8196855783462524
7,who played eowyn in the lord of the rings movies?,Miranda Otto,ով է խաղացել էովին օղակների տիրակալը ֆիլմերում:,Miranda Otto played Eowyn in the Lord of the Rings movies.,Ջոն Վինսենջման տիրակալը խաղացել է էովին օղակների տիրակալը ֆիլմերում:,Miranda Otto played Eowyn in the Lord of the Rings movies.,"Ղեքե՛ք պարզապես միայն ""Սեսիլ"" ֆիլմերում:",Miranda Otto played Eowyn in the Lord of the Rings movies.,խաղացած է՞ովին խաղնային օղակների տիրակալը ֆիլմերում։,"Խաղացել են օղակների տիրակալները շատ աշխատանքային երազանքներում: Հրեվածային ֆիլմերում, անիմացված ֆիլմերում, դրա՞ն օգտագործում են արտասուքավորումը, լվացումը երազանքին և պատգամավորումը։",Ջոն Վիկտոր Ջենսեն:,"Էուգեն Մյազոյս, ռուսական ֆիլմատուր։",Lord John Vincenzo played the original Lord of the Rings movies.,"Drive only in the ""Cecil"" movies.",Has the Lord of the Rings played in the movies?,"Played Lord of the Rings in many work dreams. In pagan films, in animated films, is this what they use for weaning, washing the dream and deputation?",John Victor Jensen.,"Eugene Miazois, Russian filmmaker.",0.8630198240280151,0.4771375060081482,0.7375227212905884,0.7425224184989929,0.3785850405693054,0.784553050994873,0.6893436908721924,0.6893436908721924,0.6893436908721924,0.6698775887489319,0.2097923904657364,0.5845546722412109,0.9209172129631042,0.8626177906990051,0.9032471776008606,0.8919162750244141,0.8287972211837769,0.8974789381027222,0.6912269592285156,0.6912269592285156,0.6912269592285156,0.7120434045791626,0.6330986022949219,0.6832869052886963
8,what kind of artist is henri matisse?,Sculpture' 'Printmaking' 'Collage' 'Painting' 'Drawing,ինչպիսի՞ նկարիչ է Հենրի Մատիսը:,Henri Matisse was a French artist known for his contributions to the Fauvism movement and his vibrant use of color and shape in his artwork.,Հենրի Մատիսը ևս հայտնաբերված նկարվածիչ է:,Henri Matisse was a French painter and sculptor.,"Հենրի Մատիսը գրողն է, ով նկարումայականներին՝ նկարագրելով գրականագործությունային արժեքով:",Henri Matisse was a painter.,Հենրի Մատիսը նկարչ է։,"Հենրի Մատիսը գեղեցկությամբ բարձրացավ ռեալիզմի նկարիչներից մեկում: Անցնող տարիների ընթացքում իր մեջ ներկայացրեց հարակից մարդու կողմից այն կառավարների բակընթացները, որոնք հասցրեցին ապացուցումը բարձր մակարդակով: Նրա անվանումը զբաղեցրել է հայտնի դարձավ, նրա տեսականինները, վրաստինները, գործինները և գլուխը ունիկաթյուն ենթակա էկրանիական արվեստիկայի ֆիլտրում՝ ներառելով թեկնածուներին՝ սույնից ուրեմն ապահովում ինդենտաքարը։ Հատուկությունները և ուշադրությունները ներկայացրել է նաև ծորանյութերի, կույտերի, պողպատների և բազերի մեջ։ Հենրի Մատիսը աշխատում է նաև տեքստիլերի հերթերից հասկանալու համար։","Հենրի Մատիսը (Henri Matisse) մեծ ֆրանսերենական նկարիչ էր, որը կատարելագործեց տարվա 1900-ական թվականներից մինչև իր դատաստանյան մահը, 1954 թվականին: Նրա գլխավոր աշխարհագրությունը կատարվեց կոլաջանասիրությունից, բուն գուգավ հասակը, փոփող ֆունկցիաները և հանձնավոր արյունը: Զրույցում թարీմանային գործունեությունը նրան ձևավորեց միայնակ ֆրեզային երկուղեղներում: նրա ստեղծած աշխատանքից հոսանք կոչվում էր «շուր»:","Հենրի Մատիսը բաղկացած է Հռումեններից, որպեսզի տրամադրի մերժված աղբյուր խոսք և գերեւանգության տակ թողնել պարածուներից:",Henri Matisse is also a discovered painter.,Henri Matisse is the writer who describes the paintings with literary value.,Henri Matisse is a painter.,"Henri Matisse rose in beauty to one of the realist painters. Over the past years, it has featured a number of side-by-side reviews of those governments that have achieved a high level of proof. His name has become famous, his assortments, works, works and head in the filter of screen arts subject to uniqueness, including candidates, hence provides the indent stone. He also presented the features and considerations in ductile materials, piles, steels and beams. Henri Matisse also works to understand the queues of textiles.","Henri Matisse (Henri Matisse) was a great French painter who worked from the early 1900s until his untimely death in 1954. His main geography was done from collage diligence, the actual gugav height, changing functions and committed blood. In the conversation, the tariman activity formed him in single milling two arrows. the current from the work he created was called ""shur"".",Henri Matisse consists of Romanians to provide a rejected source word and hostages from the hostages.,0.7049157023429871,0.6568952798843384,0.9491019248962402,0.7624344229698181,0.5700296759605408,0.5394800305366516,0.6259633898735046,0.5329204797744751,0.47860440611839294,0.587139368057251,0.6403108835220337,0.5034857392311096,0.9359303712844849,0.930543065071106,0.9217903017997742,0.8910204768180847,0.8876785039901733,0.8506762981414795,0.836316704750061,0.8524543642997742,0.8423901200294495,0.8708909749984741,0.8740002512931824,0.7620771527290344
9,who invented dell computer?,Michael S. Dell,ով է հորինել dell համակարգիչը:,Dell Computer was founded by Michael Dell in 1984.,Dell համակարգիչը հորվել է Michael Dell-ը:,Michael Dell is the founder of Dell Inc.,Հորիները Dell համակարգիչները ստանում են ՝ Մայքրոսոֆթ ընկերությանը (Microsoft Corporation)։,Dell computer was invented by Michael Dell.,Dell համակարգիչը հորինեց՝ Մայքրոսոֆտ պրեսիդենթ Բիլ գենիուսին։,"Dell համակարգիչը ստեղծվել է Մայքրոսոֆտի սպասարկատների երեխաների կողմից: Հիմնականում Dell-ը պարույկ մոդելներ օրվանիցս։ Առաջին տարեկանում, 1985թ.-ին, առաջին Dell համակարգիչը թողարկվել է: Dell-ը սպասարկում է բոլոր Windows Մակնիշի տարբեր տարբերակները՝ սկրինշոտերները պատկերացնելու նպատակով։ Երեք համակարգիչի լույսից հետո Dell-ը ստացել է շատ բազմազան համակարգիչներ, օգտագործողների բեռնումը մինչև այդ ամենաշատը նյութ էրել՝ ունեցած ֆոլիոթիպների բազան մեծացնելու նպատակով։ Dell-ը այսօր համարել է Microsoft-ի լավագիրը և Microsoft-ի չորս բազմակինտերները։
",Dell Inc.-ը՝ ամերիկյան համակարգիչների և համակարգչային սերվիսների ամերիկյան արժեքով ներկայացուցիչ:,Dell համակարգիչները երբեմն ընդգրկվել են Հորակավոր Գետուֆենդից։,The Dell computer was invented by Michael Dell.,Fathers get Dell computers from Microsoft Corporation.,The Dell computer was invented by Microsoft President Bill Genius.,"The Dell computer was created by Microsoft's service children. Mostly Dell models since then. In the first year, 1985, the first Dell computer was released. Dell supports all Windows Brand variants to illustrate screenshots. After the light of the three computers, Dell received a wide variety of computers, loading users until then was the most material in order to increase the base of foliotypes they had. Dell today considered Microsoft's good letter and Microsoft's four polynomials.
","Dell Inc., America's value representative of American computers and computer services.",Dell computers are sometimes included in the Qualified Getufend.,0.7850216627120972,0.6141601800918579,0.917392909526825,0.5899832844734192,0.7235842347145081,0.5120608806610107,0.4806540906429291,0.5276234149932861,0.49158814549446106,0.4662877917289734,0.4945164918899536,0.4916868209838867,0.9360761046409607,0.8527045845985413,0.971881628036499,0.8468278646469116,0.8830908536911011,0.9251148104667664,0.8740107417106628,0.8663561344146729,0.8751559853553772,0.8797658681869507,0.8471853733062744,0.8600210547447205
